"Energy.Source","Continent","Year","count"
"Coal","Africa",2000,1100.76490723694
"Coal","Africa",2001,1097.11342154036
"Coal","Africa",2002,1127.8360424162
"Coal","Africa",2003,1186.238688176
"Coal","Africa",2004,1194.12254993505
"Coal","Africa",2005,1224.12339615571
"Coal","Africa",2006,1247.9743792136
"Coal","Africa",2007,1285.28590512488
"Coal","Africa",2008,1275.30845690456
"Coal","Africa",2009,1267.8669675661
"Coal","Africa",2010,1291.84459866222
"Coal","Africa",2011,1219.89733727011
"Coal","Africa",2012,1267.76103760314
"Coal","Africa",2013,1261.73331768273
"Coal","Africa",2014,1274.15580856133
"Coal","Africa",2015,1269.43901266934
"Coal","Africa",2016,1280.11417642972
"Coal","Africa",2017,1288.66020649034
"Coal","Africa",2018,1249.62079902139
"Coal","Africa",2019,1366.9614486188
"Coal","Africa",2020,1344.92734958787
"Coal","Africa",2021,1292.71547643399
"Coal","Asia & Oceania",2000,13744.3422581761
"Coal","Asia & Oceania",2001,14263.3796639082
"Coal","Asia & Oceania",2002,15038.8012790596
"Coal","Asia & Oceania",2003,17047.2603248254
"Coal","Asia & Oceania",2004,19879.0002072752
"Coal","Asia & Oceania",2005,22179.7143612145
"Coal","Asia & Oceania",2006,24184.056592897
"Coal","Asia & Oceania",2007,25930.5760763486
"Coal","Asia & Oceania",2008,26918.9549708434
"Coal","Asia & Oceania",2009,28840.2015071993
"Coal","Asia & Oceania",2010,31750.2949700851
"Coal","Asia & Oceania",2011,34373.6836037024
"Coal","Asia & Oceania",2012,36250.8446669206
"Coal","Asia & Oceania",2013,36929.0719631043
"Coal","Asia & Oceania",2014,36963.6405359793
"Coal","Asia & Oceania",2015,36308.3477891721
"Coal","Asia & Oceania",2016,35744.6354160721
"Coal","Asia & Oceania",2017,36118.3746234982
"Coal","Asia & Oceania",2018,36906.9087856844
"Coal","Asia & Oceania",2019,37453.5295120692
"Coal","Asia & Oceania",2020,37187.6464815858
"Coal","Asia & Oceania",2021,38902.67679498
"Coal","Central & South America",2000,226.235568439334
"Coal","Central & South America",2001,218.199390537294
"Coal","Central & South America",2002,208.217417621569
"Coal","Central & South America",2003,218.738845104323
"Coal","Central & South America",2004,233.99468057803
"Coal","Central & South America",2005,237.276932041778
"Coal","Central & South America",2006,245.261746185603
"Coal","Central & South America",2007,259.478856215937
"Coal","Central & South America",2008,258.558788658061
"Coal","Central & South America",2009,237.010563030691
"Coal","Central & South America",2010,281.846830899889
"Coal","Central & South America",2011,306.444275720832
"Coal","Central & South America",2012,318.283881298569
"Coal","Central & South America",2013,349.848488088617
"Coal","Central & South America",2014,378.305453631813
"Coal","Central & South America",2015,382.831972819058
"Coal","Central & South America",2016,377.979183144534
"Coal","Central & South America",2017,386.539478440954
"Coal","Central & South America",2018,375.41768751238
"Coal","Central & South America",2019,379.30647238041
"Coal","Central & South America",2020,341.827188263347
"Coal","Central & South America",2021,372.164103217371
"Coal","Eurasia",2000,2424.95885334784
"Coal","Eurasia",2001,2416.21550203244
"Coal","Eurasia",2002,2389.87214416132
"Coal","Eurasia",2003,2501.32850869608
"Coal","Eurasia",2004,2440.76309164935
"Coal","Eurasia",2005,2415.8317374429
"Coal","Eurasia",2006,2508.10513078259
"Coal","Eurasia",2007,2502.88478012658
"Coal","Eurasia",2008,2708.83379575316
"Coal","Eurasia",2009,2373.438657004
"Coal","Eurasia",2010,2419.97899800877
"Coal","Eurasia",2011,2585.80627935441
"Coal","Eurasia",2012,2680.20766664034
"Coal","Eurasia",2013,2507.07698343871
"Coal","Eurasia",2014,2339.18976072161
"Coal","Eurasia",2015,2365.57019120767
"Coal","Eurasia",2016,2311.3910076649
"Coal","Eurasia",2017,2262.01810077546
"Coal","Eurasia",2018,2407.32466473745
"Coal","Eurasia",2019,2418.59170756461
"Coal","Eurasia",2020,2269.0687247047
"Coal","Eurasia",2021,2370.67944622952
"Coal","Europe",2000,4282.49476467742
"Coal","Europe",2001,4249.71155447923
"Coal","Europe",2002,4217.47019810394
"Coal","Europe",2003,4376.48084184537
"Coal","Europe",2004,4349.0130272538
"Coal","Europe",2005,4264.05127751558
"Coal","Europe",2006,4323.9112735969
"Coal","Europe",2007,4410.28638362592
"Coal","Europe",2008,4123.30524071127
"Coal","Europe",2009,3738.86015121887
"Coal","Europe",2010,3843.58388510459
"Coal","Europe",2011,3929.64545670996
"Coal","Europe",2012,4092.63744845604
"Coal","Europe",2013,3974.16949093737
"Coal","Europe",2014,3792.97210772712
"Coal","Europe",2015,3732.1681250432
"Coal","Europe",2016,3516.6398533244
"Coal","Europe",2017,3535.8133841132
"Coal","Europe",2018,3376.46407880028
"Coal","Europe",2019,2847.52450394928
"Coal","Europe",2020,2421.13791309134
"Coal","Europe",2021,2577.50731086872
"Coal","Middle East",2000,90.2476284545549
"Coal","Middle East",2001,99.8665460931915
"Coal","Middle East",2002,105.459247391677
"Coal","Middle East",2003,108.594589718901
"Coal","Middle East",2004,109.488651173112
"Coal","Middle East",2005,109.876793072596
"Coal","Middle East",2006,108.977313319889
"Coal","Middle East",2007,115.319361900857
"Coal","Middle East",2008,111.142106152656
"Coal","Middle East",2009,108.137334327259
"Coal","Middle East",2010,110.325778583938
"Coal","Middle East",2011,119.570339801492
"Coal","Middle East",2012,134.990801204475
"Coal","Middle East",2013,123.485136956987
"Coal","Middle East",2014,119.341257845466
"Coal","Middle East",2015,113.303030446903
"Coal","Middle East",2016,105.678434681225
"Coal","Middle East",2017,92.0194504553226
"Coal","Middle East",2018,90.2585087191424
"Coal","Middle East",2019,76.5010927543807
"Coal","Middle East",2020,75.6904065112671
"Coal","Middle East",2021,79.2724431199736
"Coal","North America",2000,7055.60856779999
"Coal","North America",2001,6893.86828691293
"Coal","North America",2002,6879.4717798856
"Coal","North America",2003,7000.65820546375
"Coal","North America",2004,7032.04961690504
"Coal","North America",2005,7176.92536869461
"Coal","North America",2006,7083.9937429396
"Coal","North America",2007,7146.76743577821
"Coal","North America",2008,6995.00890334372
"Coal","North America",2009,6159.4550117679
"Coal","North America",2010,6526.11295854975
"Coal","North America",2011,6173.48417380714
"Coal","North America",2012,5477.19667280265
"Coal","North America",2013,5661.14238853327
"Coal","North America",2014,5646.12056507814
"Coal","North America",2015,4930.72641269602
"Coal","North America",2016,4502.73052487761
"Coal","North America",2017,4412.2517125611
"Coal","North America",2018,4187.34221652643
"Coal","North America",2019,3577.34859415496
"Coal","North America",2020,2886.78394087689
"Coal","North America",2021,3265.93510333441
"Natural Gas","Africa",2000,645.366804162179
"Natural Gas","Africa",2001,721.432909360166
"Natural Gas","Africa",2002,745.703411095656
"Natural Gas","Africa",2003,810.229483012117
"Natural Gas","Africa",2004,835.335518437791
"Natural Gas","Africa",2005,967.415993495697
"Natural Gas","Africa",2006,1019.80499061642
"Natural Gas","Africa",2007,1031.74696036104
"Natural Gas","Africa",2008,1106.07542150994
"Natural Gas","Africa",2009,1043.3826450159
"Natural Gas","Africa",2010,1098.76386641595
"Natural Gas","Africa",2011,1310.18070691759
"Natural Gas","Africa",2012,1395.91705060682
"Natural Gas","Africa",2013,1391.91545311828
"Natural Gas","Africa",2014,1434.2110015466
"Natural Gas","Africa",2015,1443.31338166456
"Natural Gas","Africa",2016,1480.66000694305
"Natural Gas","Africa",2017,1581.04326639958
"Natural Gas","Africa",2018,1670.5570533188
"Natural Gas","Africa",2019,1682.62020444641
"Natural Gas","Africa",2020,1639.61257852879
"Natural Gas","Africa",2021,1748.51174092301
"Natural Gas","Asia & Oceania",2000,3149.45496030869
"Natural Gas","Asia & Oceania",2001,3161.43275213386
"Natural Gas","Asia & Oceania",2002,3487.83086220566
"Natural Gas","Asia & Oceania",2003,3681.35749363152
"Natural Gas","Asia & Oceania",2004,3852.92791289505
"Natural Gas","Asia & Oceania",2005,4210.22716162638
"Natural Gas","Asia & Oceania",2006,4706.29507827991
"Natural Gas","Asia & Oceania",2007,5169.02152561278
"Natural Gas","Asia & Oceania",2008,5361.83615369632
"Natural Gas","Asia & Oceania",2009,5644.7688810142
"Natural Gas","Asia & Oceania",2010,6334.74578606264
"Natural Gas","Asia & Oceania",2011,6773.74051738018
"Natural Gas","Asia & Oceania",2012,7110.97973744745
"Natural Gas","Asia & Oceania",2013,7328.21778297432
"Natural Gas","Asia & Oceania",2014,7552.15483070687
"Natural Gas","Asia & Oceania",2015,7577.84288540831
"Natural Gas","Asia & Oceania",2016,7952.31157030658
"Natural Gas","Asia & Oceania",2017,8425.7755955797
"Natural Gas","Asia & Oceania",2018,9051.93940036091
"Natural Gas","Asia & Oceania",2019,9276.59288560153
"Natural Gas","Asia & Oceania",2020,9260.94187688702
"Natural Gas","Asia & Oceania",2021,9826.72522472341
"Natural Gas","Central & South America",2000,1045.9015404191
"Natural Gas","Central & South America",2001,1123.7658202781
"Natural Gas","Central & South America",2002,1114.48575994434
"Natural Gas","Central & South America",2003,1172.23644506898
"Natural Gas","Central & South America",2004,1277.43792675686
"Natural Gas","Central & South America",2005,1310.08115095799
"Natural Gas","Central & South America",2006,1420.75703667406
"Natural Gas","Central & South America",2007,1373.67804124497
"Natural Gas","Central & South America",2008,1442.24256668537
"Natural Gas","Central & South America",2009,1355.41976183013
"Natural Gas","Central & South America",2010,1510.13328415376
"Natural Gas","Central & South America",2011,1563.38357620743
"Natural Gas","Central & South America",2012,1669.09655810992
"Natural Gas","Central & South America",2013,1759.96048167767
"Natural Gas","Central & South America",2014,1792.82875429728
"Natural Gas","Central & South America",2015,1828.39434869491
"Natural Gas","Central & South America",2016,1740.80909094513
"Natural Gas","Central & South America",2017,1731.3631429905
"Natural Gas","Central & South America",2018,1720.81058083567
"Natural Gas","Central & South America",2019,1719.97520335238
"Natural Gas","Central & South America",2020,1561.25173628915
"Natural Gas","Central & South America",2021,1688.10521530385
"Natural Gas","Eurasia",2000,5753.55022677473
"Natural Gas","Eurasia",2001,5706.24720340074
"Natural Gas","Eurasia",2002,5995.44756743363
"Natural Gas","Eurasia",2003,6259.20748286613
"Natural Gas","Eurasia",2004,6377.80343511403
"Natural Gas","Eurasia",2005,6327.30017174844
"Natural Gas","Eurasia",2006,6589.7772422946
"Natural Gas","Eurasia",2007,6705.53308149087
"Natural Gas","Eurasia",2008,6807.23134159482
"Natural Gas","Eurasia",2009,5703.56439831352
"Natural Gas","Eurasia",2010,6715.06255295057
"Natural Gas","Eurasia",2011,7091.8829106923
"Natural Gas","Eurasia",2012,6946.45518000086
"Natural Gas","Eurasia",2013,6778.1092945647
"Natural Gas","Eurasia",2014,6721.14855885136
"Natural Gas","Eurasia",2015,6481.07735007797
"Natural Gas","Eurasia",2016,6393.05805666673
"Natural Gas","Eurasia",2017,6511.89108878099
"Natural Gas","Eurasia",2018,6778.93707769658
"Natural Gas","Eurasia",2019,6639.7508074887
"Natural Gas","Eurasia",2020,6449.58106695347
"Natural Gas","Eurasia",2021,7107.17040016886
"Natural Gas","Europe",2000,5243.10187511299
"Natural Gas","Europe",2001,5412.23834270095
"Natural Gas","Europe",2002,5498.67213201175
"Natural Gas","Europe",2003,5696.80138498353
"Natural Gas","Europe",2004,5939.53456383349
"Natural Gas","Europe",2005,6085.43761628454
"Natural Gas","Europe",2006,6088.91939121843
"Natural Gas","Europe",2007,6046.42825768854
"Natural Gas","Europe",2008,6193.69633831685
"Natural Gas","Europe",2009,5823.19358210275
"Natural Gas","Europe",2010,6298.46466941799
"Natural Gas","Europe",2011,5843.83676803765
"Natural Gas","Europe",2012,5671.74197013616
"Natural Gas","Europe",2013,5596.82454128879
"Natural Gas","Europe",2014,5090.84774010571
"Natural Gas","Europe",2015,5256.84014386358
"Natural Gas","Europe",2016,5557.93976604511
"Natural Gas","Europe",2017,5837.48024637487
"Natural Gas","Europe",2018,5722.13892577016
"Natural Gas","Europe",2019,5797.99690711262
"Natural Gas","Europe",2020,5586.62523765962
"Natural Gas","Europe",2021,5914.20696343244
"Natural Gas","Middle East",2000,2093.837042922
"Natural Gas","Middle East",2001,2155.86446478685
"Natural Gas","Middle East",2002,2358.40726858739
"Natural Gas","Middle East",2003,2459.79976263051
"Natural Gas","Middle East",2004,2646.58622884241
"Natural Gas","Middle East",2005,3025.48848308399
"Natural Gas","Middle East",2006,3159.34997378307
"Natural Gas","Middle East",2007,3290.14246759054
"Natural Gas","Middle East",2008,3593.15433620427
"Natural Gas","Middle East",2009,3852.33627062972
"Natural Gas","Middle East",2010,4110.72099099745
"Natural Gas","Middle East",2011,4362.91103118366
"Natural Gas","Middle East",2012,4560.79567968861
"Natural Gas","Middle East",2013,4727.12103654098
"Natural Gas","Middle East",2014,4938.84848229346
"Natural Gas","Middle East",2015,5217.01752498099
"Natural Gas","Middle East",2016,5415.38486129457
"Natural Gas","Middle East",2017,5673.06537518352
"Natural Gas","Middle East",2018,5814.67655758196
"Natural Gas","Middle East",2019,6033.15411626075
"Natural Gas","Middle East",2020,6076.86298248455
"Natural Gas","Middle East",2021,6253.953529557
"Natural Gas","North America",2000,8329.3797070613
"Natural Gas","North America",2001,8075.2996431452
"Natural Gas","North America",2002,8365.78006700976
"Natural Gas","North America",2003,8285.89457102217
"Natural Gas","North America",2004,8317.34905400183
"Natural Gas","North America",2005,8145.16814155367
"Natural Gas","North America",2006,8172.10708642712
"Natural Gas","North America",2007,8539.4863579707
"Natural Gas","North America",2008,8575.50925846127
"Natural Gas","North America",2009,8565.843883778
"Natural Gas","North America",2010,8931.79653678729
"Natural Gas","North America",2011,9099.60768410825
"Natural Gas","North America",2012,9514.13414872588
"Natural Gas","North America",2013,9829.74777160409
"Natural Gas","North America",2014,10025.5932944055
"Natural Gas","North America",2015,10309.907102284
"Natural Gas","North America",2016,10350.1457200603
"Natural Gas","North America",2017,10334.356688632
"Natural Gas","North America",2018,11375.6683754407
"Natural Gas","North America",2019,11678.8035402385
"Natural Gas","North America",2020,11419.8034151076
"Natural Gas","North America",2021,11524.5807100814
"Nuclear & Renewables","Africa",2000,269.704459430163
"Nuclear & Renewables","Africa",2001,287.100406440365
"Nuclear & Renewables","Africa",2002,294.654314629007
"Nuclear & Renewables","Africa",2003,292.149539098334
"Nuclear & Renewables","Africa",2004,307.831994634944
"Nuclear & Renewables","Africa",2005,306.516705898628
"Nuclear & Renewables","Africa",2006,310.403929459679
"Nuclear & Renewables","Africa",2007,327.002908884959
"Nuclear & Renewables","Africa",2008,331.984950534432
"Nuclear & Renewables","Africa",2009,337.226778319864
"Nuclear & Renewables","Africa",2010,377.73791529217
"Nuclear & Renewables","Africa",2011,381.650509432206
"Nuclear & Renewables","Africa",2012,378.242007548587
"Nuclear & Renewables","Africa",2013,401.74867104244
"Nuclear & Renewables","Africa",2014,431.441636987344
"Nuclear & Renewables","Africa",2015,418.196734677058
"Nuclear & Renewables","Africa",2016,442.281426111365
"Nuclear & Renewables","Africa",2017,467.292553978158
"Nuclear & Renewables","Africa",2018,485.245096639271
